file,level,observe_count,activation_count,mean_observe_per_activation
u1769717152143.csv,sm371_2,0,1,0.0
u1769717152143.csv,sm431_1,6,1,6.0
u1769717152143.csv,sm511_2,5,1,5.0
u1769717152143.csv,sm521_1,0,1,0.0
u1769717152143.csv,sm531_2,8,1,8.0
u1769717152143.csv,sm541_1,16,1,16.0
u1769717152143.csv,sm543_2,0,1,0.0
u1769717152143.csv,sm611_2,0,1,0.0
u1769713201903.csv,comprehension_check,0,1,0.0
u1769713201903.csv,experiment,0,1,0.0
u1769713201903.csv,s111_1,0,1,0.0
u1769713201903.csv,sm111_1,8,1,8.0
u1769713201903.csv,sm112_1,13,1,13.0
u1769713201903.csv,sm211_1,5,1,5.0
u1769713201903.csv,sm321_1,0,1,0.0
u1769713201903.csv,sm331_1,9,1,9.0
u1769713201903.csv,sm341_2,13,1,13.0
u1769713201903.csv,sm351_2,9,1,9.0
u1769713201903.csv,sm411_2,13,1,13.0
u1769713201903.csv,sm421_1,8,1,8.0
u1769713201903.csv,sm432_1,10,1,10.0
u1769713201903.csv,sm543_1,0,1,0.0
u1769713201903.csv,sm612_2,17,1,17.0
